iter	Passed	Remaining
462	757	878
463	758	876
464	759	874
465	760	871
466	761	869
467	762	866
468	763	864
469	764	862
470	766	860
471	767	858
472	768	855
473	769	853
474	770	851
475	771	849
476	772	847
477	773	844
478	774	842
479	775	840
480	776	838
481	778	836
482	779	834
483	780	832
484	781	829
485	782	827
486	783	825
487	784	823
488	785	820
489	787	819
490	788	817
491	789	815
492	790	812
493	791	810
494	792	808
495	793	806
496	794	803
497	795	801
498	796	799
499	797	797
500	798	795
501	799	793
502	800	791
503	801	788
504	802	786
505	803	784
506	804	782
507	805	780
508	806	777
509	807	775
510	809	774
511	809	772
512	811	770
513	812	768
514	813	766
515	814	764
516	815	762
517	816	760
518	817	758
519	819	756
520	820	754
521	821	752
522	822	750
523	823	748
524	825	746
525	826	744
526	827	742
527	828	740
528	829	738
529	830	736
530	831	734
531	832	732
532	833	730
533	834	728
534	835	726
535	836	724
536	837	722
537	838	720
538	840	718
539	841	716
540	841	714
541	842	712
542	843	710
543	844	708
544	846	706
545	847	704
546	848	702
547	849	700
548	851	699
549	852	697
550	853	695
551	854	693
552	855	691
553	856	689
554	857	687
555	858	685
556	859	683
557	860	681
558	861	679
559	862	677
560	863	675
561	865	674
562	866	672
563	867	670
564	868	668
565	869	667
566	871	665
567	872	663
568	873	661
569	874	659
570	875	657
571	876	656
572	877	654
573	879	652
574	879	650
575	881	648
576	882	646
577	883	645
578	884	643
579	885	641
580	886	639
581	887	637
582	888	635
583	890	634
584	891	632
585	892	630
586	893	628
587	894	626
588	895	625
589	897	623
590	898	621
591	899	619
592	900	617
593	901	616
594	902	614
595	904	612
596	905	611
597	906	609
598	907	607
599	908	605
600	910	604
601	913	604
602	915	602
603	917	601
604	919	600
605	920	598
606	921	596
607	922	594
608	924	593
609	925	591
610	926	589
611	927	588
612	928	586
613	929	584
614	931	583
615	932	581
616	933	579
617	934	577
618	935	575
619	936	574
620	937	572
621	938	570
622	939	568
623	940	566
624	941	564
625	942	563
626	943	561
627	944	559
628	945	557
629	946	556
630	947	554
631	948	552
632	950	550
633	951	549
634	952	547
635	953	545
636	954	543
637	955	542
638	956	540
639	957	538
640	958	536
641	959	534
642	960	533
643	962	531
644	963	530
645	964	528
646	965	527
647	967	525
648	968	523
649	969	522
650	970	520
651	971	518
652	972	516
653	974	515
654	975	513
655	976	512
656	977	510
657	978	508
658	979	506
659	980	505
660	982	503
661	983	501
662	984	500
663	985	498
664	986	496
665	987	495
666	988	493
667	989	492
668	991	490
669	992	488
670	993	487
671	994	485
672	995	483
673	996	482
674	998	480
675	999	478
676	1000	477
677	1001	475
678	1002	473
679	1003	472
680	1004	470
681	1005	468
682	1006	467
683	1007	465
684	1008	463
685	1008	461
686	1009	460
687	1011	458
688	1012	456
689	1013	455
690	1014	453
691	1016	452
692	1017	450
693	1018	449
694	1020	447
695	1021	446
696	1022	444
697	1023	443
698	1025	441
699	1026	439
700	1027	438
701	1028	436
702	1029	434
703	1030	433
704	1031	431
705	1032	429
706	1033	428
707	1034	426
708	1035	425
709	1037	423
710	1038	421
711	1038	420
712	1039	418
713	1040	416
714	1042	415
715	1043	413
716	1044	412
717	1045	410
718	1046	409
719	1047	407
720	1049	406
721	1050	404
722	1051	402
723	1053	401
724	1054	400
725	1055	398
726	1056	396
727	1057	395
728	1059	393
729	1060	392
730	1061	390
731	1062	388
732	1063	387
733	1064	385
734	1065	384
735	1066	382
736	1067	380
737	1068	379
738	1069	377
739	1070	376
740	1071	374
741	1073	373
742	1074	371
743	1075	370
744	1076	368
745	1077	367
746	1079	365
747	1080	364
748	1082	362
749	1083	361
750	1083	359
751	1084	357
752	1086	356
753	1087	354
754	1088	353
755	1089	351
756	1090	350
757	1092	348
758	1093	347
759	1094	345
760	1095	343
761	1096	342
762	1097	340
763	1098	339
764	1099	337
765	1099	336
766	1100	334
767	1102	332
768	1104	331
769	1105	330
770	1106	328
771	1107	327
772	1109	325
773	1110	324
774	1111	322
775	1112	321
776	1113	319
777	1115	318
778	1116	316
779	1117	315
780	1118	313
781	1119	312
782	1120	310
783	1122	309
784	1123	307
785	1124	306
786	1125	304
787	1127	303
788	1128	301
789	1129	300
790	1131	298
791	1132	297
792	1134	296
793	1139	295
794	1140	294
795	1142	292
796	1143	291
797	1144	289
798	1145	288
799	1146	286
800	1147	285
801	1148	283
802	1149	282
803	1151	280
804	1152	279
805	1153	277
806	1154	276
807	1155	274
808	1156	273
809	1157	271
810	1159	270
811	1160	268
812	1161	267
813	1163	265
814	1164	264
815	1166	263
816	1168	261
817	1169	260
818	1171	258
819	1173	257
820	1174	256
821	1176	254
822	1177	253
823	1179	251
824	1180	250
825	1181	248
826	1182	247
827	1184	245
828	1185	244
829	1187	243
830	1188	241
831	1189	240
832	1191	238
833	1192	237
834	1194	235
835	1196	234
836	1197	233
837	1198	231
838	1199	230
839	1200	228
840	1201	227
841	1203	225
842	1204	224
843	1205	222
844	1206	221
845	1207	219
846	1208	218
847	1209	216
848	1210	215
849	1211	213
850	1212	212
851	1213	210
852	1215	209
853	1216	207
854	1217	206
855	1218	204
856	1219	203
857	1220	202
858	1221	200
859	1222	199
860	1223	197
861	1224	196
862	1226	194
863	1227	193
864	1228	191
865	1229	190
866	1230	188
867	1231	187
868	1233	185
869	1234	184
870	1235	182
871	1236	181
872	1237	180
873	1238	178
874	1239	177
875	1240	175
876	1242	174
877	1243	172
878	1244	171
879	1245	169
